Country,Score,Log GDP per capita
Afghanistan,2.375,7.697
Albania,4.995,9.544
Algeria,4.745,9.337
Argentina,6.086,10.000
Armenia,5.488,9.522
Australia,7.234,10.815
Austria,7.195,10.939
Azerbaijan,5.173,9.575
Bahrain,7.098,10.715
Bangladesh,5.114,8.467
Belarus,5.821,9.860
Belgium,6.772,10.853
Benin,4.976,8.098
Bolivia,5.674,9.074
Bosnia and Herzegovina,6.016,9.609
Botswana,3.471,9.785
Brazil,6.451,9.592
Bulgaria,5.108,10.047
Burkina Faso,4.741,7.691
Cambodia,4.998,8.387
Cameroon,4.937,8.203
Canada,7.109,10.800
Chad,4.251,7.365
Chile,5.942,10.095
China,5.144,9.688
Colombia,6.350,9.598
Comoros,4.609,8.033
Congo (Brazzaville),5.213,8.101
Costa Rica,6.998,9.885
Croatia,5.626,10.258
Cyprus,6.137,10.585
Denmark,7.693,10.954
Dominican Republic,6.004,9.821
Ecuador,5.809,9.339
Egypt,4.328,9.373
El Salvador,6.455,9.080
Estonia,6.035,10.511
Ethiopia,4.100,7.705
Finland,7.780,10.792
France,6.690,10.740
Gabon,4.914,9.607
Gambia,5.164,7.699
Georgia,4.892,9.617
Germany,7.035,10.893
Ghana,4.967,8.596
Greece,5.952,10.319
Guatemala,6.262,9.064
Guinea,4.768,7.849
Honduras,5.930,8.653
Hong Kong S.A.R. of China,5.659,11.000
Hungary,6.000,10.393
Iceland,7.533,10.931
India,3.249,8.818
Indonesia,5.347,9.377
Iran,5.006,
Ireland,7.255,11.371
Israel,7.332,10.601
Italy,6.445,10.655
Ivory Coast,5.392,8.564
Jamaica,6.309,9.186
Japan,5.908,10.632
Jordan,4.453,9.201
Kazakhstan,6.272,10.179
Kenya,4.619,8.373
Kosovo,6.425,9.339
Kuwait,6.106,10.817
Kyrgyzstan,5.685,8.567
Laos,5.197,8.965
Latvia,5.970,10.336
Lebanon,4.024,9.597
Lesotho,3.512,7.926
Liberia,5.121,7.264
Libya,5.330,9.627
Lithuania,6.064,10.518
Luxembourg,7.404,11.648
Madagascar,4.339,7.406
Malawi,3.869,6.966
Malaysia,5.428,10.252
Mali,4.988,7.752
Malta,6.733,10.677
Mauritania,4.153,8.556
Mauritius,6.241,10.043
Mexico,6.432,9.891
Moldova,5.803,9.475
Mongolia,5.563,9.418
Montenegro,5.386,9.970
Morocco,5.057,8.925
Mozambique,4.932,7.155
Myanmar,4.434,8.545
Namibia,4.436,9.173
Nepal,5.449,8.136
Netherlands,7.425,10.953
New Zealand,7.205,10.666
Nicaragua,6.113,8.595
Niger,5.004,7.106
Nigeria,4.356,8.544
North Cyprus,5.467,
North Macedonia,5.015,9.711
Norway,7.442,11.061
Pakistan,4.443,8.453
Palestinian Territories,4.483,
Panama,6.086,10.356
Paraguay,5.653,9.448
Peru,5.999,9.461
Philippines,6.268,9.095
Poland,6.242,10.407
Portugal,6.095,10.457
Romania,6.130,10.306
Russia,5.441,10.205
Rwanda,3.268,7.708
Saudi Arabia,6.561,10.757
Senegal,5.489,8.130
Serbia,6.241,9.808
Sierra Leone,3.447,7.449
Singapore,6.378,11.486
Slovakia,6.243,10.398
Slovenia,6.665,10.563
South Africa,5.035,9.432
South Korea,5.903,10.661
Spain,6.457,10.618
Sri Lanka,4.213,9.479
Swaziland,4.396,9.070
Sweden,7.398,10.882
Switzerland,7.694,11.136
Taiwan Province of China,6.537,
Tajikistan,5.464,8.126
Tanzania,3.640,7.886
Thailand,6.022,9.824
Togo,4.179,7.375
Tunisia,4.315,9.283
Turkey,4.872,10.246
Turkmenistan,5.474,9.651
Uganda,4.948,7.688
Ukraine,4.702,9.458
United Arab Emirates,6.711,11.114
United Kingdom,7.157,10.751
United States,6.944,11.043
Uruguay,6.600,9.979
Uzbekistan,6.154,8.853
Venezuela,5.081,
Vietnam,5.467,8.992
Yemen,4.197,
Zambia,3.307,8.155
Zimbabwe,2.694,7.950
